t,j1,j2,j3
1770900369.7968576,0.0,0.0,0.0
1770900369.8469217,0.0,0.0,0.0
1770900369.8970191,0.0,0.0,0.0
1770900369.947114,0.0,0.0,0.0
1770900369.997211,0.0,0.0,0.0
1770900370.047308,0.0,0.0,0.0
1770900370.097413,0.0,0.0,0.0
1770900370.1475074,0.0,0.0,0.0
1770900370.1976016,0.0,0.0,0.0
1770900370.2476952,0.0,0.0,0.0
1770900370.2977889,0.0,0.0,0.0
1770900370.347891,0.0,0.0,0.0
1770900370.3979561,0.0,0.0,0.0
1770900370.4480188,0.0,0.0,0.0
1770900370.498081,0.0,0.0,0.0
1770900370.5481439,0.0,0.0,0.0
1770900370.598213,0.0,0.0,0.0
1770900370.6482766,0.0,0.0,0.0
1770900370.6983716,0.0,0.0,0.0
1770900370.7484648,0.0,0.0,0.0
1770900370.7985306,0.0,0.0,0.0
1770900370.8485923,0.0,0.0,0.0
1770900370.898689,0.0,0.0,0.0
1770900370.9487896,0.0,0.0,0.0
1770900370.9988885,0.0,0.0,0.0
1770900371.0489535,0.0,0.0,0.0
1770900371.0990188,0.0,0.0,0.0
1770900371.149081,0.0,0.0,0.0
1770900371.1991441,0.0,0.0,0.0
1770900371.249206,0.0,0.0,0.0
1770900371.2992678,0.0,0.0,0.0
1770900371.349328,0.0,0.0,0.0
1770900371.39942,0.0,0.0,0.0
1770900371.4494827,0.0,0.0,0.0
1770900371.4995444,0.0,0.0,0.0
1770900371.5496378,0.0,0.0,0.0
1770900371.5996995,0.0,0.0,0.0
1770900371.649759,0.0,0.0,0.0
1770900371.6998224,0.0,0.0,0.0
1770900371.7499182,0.0,0.0,0.0
1770900371.799981,0.0,0.0,0.0
1770900371.8500445,0.0,0.0,0.0
1770900371.9001284,0.0,0.0,0.0
1770900371.9508047,0.0,0.0,0.0
1770900372.15302,0.0,0.0,0.0
1770900372.2038684,0.0,0.0,0.0
1770900372.2544408,0.0,0.0,0.0
1770900372.3047674,0.0,0.0,0.0
1770900372.355419,0.0,0.0,0.0
1770900372.4085357,0.0,0.0,0.0
1770900372.4598556,0.0,0.0,0.0
1770900372.509924,0.0,0.0,0.0
1770900372.5599945,0.0,0.0,0.0
1770900372.6117535,0.0,0.0,0.0
1770900372.6668687,0.0,0.0,0.0
1770900372.7217364,0.0,0.0,0.0
1770900372.7725992,0.0,0.0,0.0
1770900372.82994,0.0,0.0,0.0
1770900372.880109,0.0,0.0,0.0
1770900372.9302115,0.0,0.0,0.0
1770900372.980872,0.0,0.0,0.0
1770900373.0701613,0.0,0.0,0.0
1770900373.1247897,0.0,0.0,0.0
1770900373.1796231,0.0,0.0,0.0
1770900373.2297223,0.0,0.0,0.0
1770900373.2817698,0.0,0.0,0.0
1770900373.3342798,0.0,0.0,0.0
1770900373.38739,0.0,0.0,0.0
1770900373.4801805,0.0,0.0,0.0
1770900373.5307143,0.0,0.0,0.0
1770900373.5809197,0.0,0.0,0.0
1770900373.6311884,0.0,0.0,0.0
1770900373.6816232,0.0,0.0,0.0
1770900373.7317917,0.0,0.0,0.0
1770900373.7825105,0.0,0.0,0.0
1770900373.832608,0.0,0.0,0.0
1770900373.883008,0.0,0.0,0.0
1770900373.9331968,0.0,0.0,0.0
1770900373.9835498,0.0,0.0,0.0
1770900374.033839,0.0,0.0,0.0
1770900374.0878196,0.0,0.0,0.0
1770900374.140922,0.0,0.0,0.0
1770900374.1913254,0.0,0.0,0.0
1770900374.2450964,0.0,0.0,0.0
1770900374.2964182,0.0,0.0,0.0
1770900374.3856394,0.0,0.0,0.0
1770900374.4361641,0.0,0.0,0.0
1770900374.4863749,0.0,0.0,0.0
1770900374.5368886,0.0,0.0,0.0
1770900374.587101,0.0,0.0,0.0
1770900374.6371956,0.0,0.0,0.0
1770900374.6939287,0.0,0.0,0.0
1770900374.74591,0.0,0.0,0.0
1770900374.7967367,0.0,0.0,0.0
1770900374.8468664,0.0,0.0,0.0
1770900374.8969855,0.0,0.0,0.0
1770900374.9488888,0.0,0.0,0.0
1770900374.9989634,0.0,0.0,0.0
1770900375.0490396,0.0,0.0,0.0
1770900375.0991094,0.0,0.0,0.0
1770900375.1492069,0.0,0.0,0.0
1770900375.199282,0.0,0.0,0.0
1770900375.249345,0.0,0.0,0.0
1770900375.2994094,0.0,0.0,0.0
1770900375.3495488,0.0,0.0,0.0
1770900375.3996468,0.0,0.0,0.0
1770900375.4497325,0.0,0.0,0.0
1770900375.4998448,0.0,0.0,0.0
1770900375.5499475,0.0,0.0,0.0
1770900375.600079,0.0,0.0,0.0
1770900375.6501458,0.0,0.0,0.0
1770900375.7002091,0.0,0.0,0.0
1770900375.7502773,0.0,0.0,0.0
1770900375.800352,0.0,0.0,0.0
1770900375.8504195,0.0,0.0,0.0
1770900375.9005127,0.0,0.0,0.0
1770900375.9506073,0.0,0.0,0.0
1770900376.0007155,0.0,0.0,0.0
1770900376.0508099,0.0,0.0,0.0
1770900376.100875,0.0,0.0,0.0
1770900376.1509383,0.0,0.0,0.0
1770900376.201,0.0,0.0,0.0
1770900376.2510638,0.0,0.0,0.0
1770900376.3011272,0.0,0.0,0.0
1770900376.3511918,0.0,0.0,0.0
1770900376.401256,0.0,0.0,0.0
1770900376.4513195,0.0,0.0,0.0
1770900376.501383,0.0,0.0,0.0
1770900376.5514472,0.0,0.0,0.0
1770900376.6015117,0.0,0.0,0.0
1770900376.6516085,0.0,0.0,0.0
