t,emg1,emg2,emg3
1770806722.0495112,0.0,0.0,0.0
1770806722.0546052,0.0,0.0,0.0
1770806722.0597064,0.0,0.0,0.0
1770806722.0648234,0.0,0.0,0.0
1770806722.069923,0.0,0.0,0.0
1770806722.0750256,0.0,0.0,0.0
1770806722.0801191,0.0,0.0,0.0
1770806722.0852108,0.0,0.0,0.0
1770806722.0903006,0.0,0.0,0.0
1770806722.0954,0.0,0.0,0.0
1770806722.100493,0.0,0.0,0.0
1770806722.1056051,0.0,0.0,0.0
1770806722.1106741,0.0,0.0,0.0
1770806722.115735,0.0,0.0,0.0
1770806722.120825,0.0,0.0,0.0
1770806722.1259184,0.0,0.0,0.0
1770806722.131011,0.0,0.0,0.0
1770806722.136101,0.0,0.0,0.0
1770806722.1411915,0.0,0.0,0.0
1770806722.1462827,0.0,0.0,0.0
1770806722.1513731,0.0,0.0,0.0
1770806722.1564345,0.0,0.0,0.0
1770806722.1614969,0.0,0.0,0.0
1770806722.1665564,0.0,0.0,0.0
1770806722.171613,0.0,0.0,0.0
1770806722.1767125,0.0,0.0,0.0
1770806722.181803,0.0,0.0,0.0
1770806722.1868935,0.0,0.0,0.0
1770806722.1919627,0.0,0.0,0.0
1770806722.197021,0.0,0.0,0.0
1770806722.2020774,0.0,0.0,0.0
1770806722.2071338,0.0,0.0,0.0
1770806722.2121887,0.0,0.0,0.0
1770806722.2172778,0.0,0.0,0.0
1770806722.2223744,0.0,0.0,0.0
1770806722.2274652,0.0,0.0,0.0
1770806722.2325253,0.0,0.0,0.0
1770806722.2375836,0.0,0.0,0.0
1770806722.24264,0.0,0.0,0.0
1770806722.2477312,0.0,0.0,0.0
1770806722.252821,0.0,0.0,0.0
1770806722.2579207,0.0,0.0,0.0
1770806722.2630136,0.0,0.0,0.0
1770806722.268104,0.0,0.0,0.0
1770806722.2731967,0.0,0.0,0.0
1770806722.2782893,0.0,0.0,0.0
1770806722.2833834,0.0,0.0,0.0
1770806722.288483,0.0,0.0,0.0
1770806722.2935731,0.0,0.0,0.0
1770806722.298633,0.0,0.0,0.0
1770806722.3037324,0.0,0.0,0.0
1770806722.308825,0.0,0.0,0.0
1770806722.3139148,0.0,0.0,0.0
1770806722.3190064,0.0,0.0,0.0
1770806722.3241005,0.0,0.0,0.0
1770806722.3291914,0.0,0.0,0.0
1770806722.334288,0.0,0.0,0.0
1770806722.3393843,0.0,0.0,0.0
1770806722.3444793,0.0,0.0,0.0
1770806722.3495383,0.0,0.0,0.0
1770806722.354629,0.0,0.0,0.0
1770806722.3597214,0.0,0.0,0.0
1770806722.3647814,0.0,0.0,0.0
1770806722.369872,0.0,0.0,0.0
1770806722.374962,0.0,0.0,0.0
1770806722.3800535,0.0,0.0,0.0
1770806722.3851151,0.0,0.0,0.0
1770806722.390183,0.0,0.0,0.0
1770806722.3952487,0.0,0.0,0.0
1770806722.4003372,0.0,0.0,0.0
1770806722.4054317,0.0,0.0,0.0
1770806722.4105186,0.0,0.0,0.0
1770806722.4156091,0.0,0.0,0.0
1770806722.4206843,0.0,0.0,0.0
1770806722.425748,0.0,0.0,0.0
1770806722.4308393,0.0,0.0,0.0
1770806722.4359298,0.0,0.0,0.0
1770806722.441022,0.0,0.0,0.0
1770806722.4461124,0.0,0.0,0.0
1770806722.4512064,0.0,0.0,0.0
1770806722.4562974,0.0,0.0,0.0
1770806722.461388,0.0,0.0,0.0
1770806722.4664853,0.0,0.0,0.0
1770806722.4715753,0.0,0.0,0.0
1770806722.4766765,0.0,0.0,0.0
1770806722.4817698,0.0,0.0,0.0
1770806722.48683,0.0,0.0,0.0
1770806722.4919207,0.0,0.0,0.0
1770806722.49701,0.0,0.0,0.0
1770806722.5021005,0.0,0.0,0.0
1770806722.507161,0.0,0.0,0.0
1770806722.512248,0.0,0.0,0.0
1770806722.517339,0.0,0.0,0.0
1770806722.522432,0.0,0.0,0.0
1770806722.5275064,0.0,0.0,0.0
1770806722.5325747,0.0,0.0,0.0
1770806722.537632,0.0,0.0,0.0
1770806722.542688,0.0,0.0,0.0
1770806722.5477777,0.0,0.0,0.0
1770806722.5528653,0.0,0.0,0.0
1770806722.5579386,0.0,0.0,0.0
1770806722.5630069,0.0,0.0,0.0
1770806722.5681012,0.0,0.0,0.0
1770806722.5731916,0.0,0.0,0.0
1770806722.5782814,0.0,0.0,0.0
1770806722.583373,0.0,0.0,0.0
1770806722.5884743,0.0,0.0,0.0
1770806722.5935652,0.0,0.0,0.0
1770806722.5986576,0.0,0.0,0.0
1770806722.6037529,0.0,0.0,0.0
