t,j1,j2,j3
1770806722.0493374,0.0,0.0,0.0
1770806722.0994391,0.0,0.0,0.0
1770806722.1495306,0.0,0.0,0.0
1770806722.199592,0.0,0.0,0.0
1770806722.2496536,0.0,0.0,0.0
1770806722.2997148,0.0,0.0,0.0
1770806722.3498068,0.0,0.0,0.0
1770806722.3998995,0.0,0.0,0.0
1770806722.4499915,0.0,0.0,0.0
1770806722.5000827,0.0,0.0,0.0
1770806722.5501757,0.0,0.0,0.0
1770806722.6002707,0.0,0.0,0.0
1770806722.650371,0.0,0.0,0.0
1770806722.7004635,0.0,0.0,0.0
1770806722.75049,0.0,0.0,0.0
1770806722.800583,0.0,0.0,0.0
1770806722.850676,0.0,0.0,0.0
1770806722.900738,0.0,0.0,0.0
1770806722.9508314,0.0,0.0,0.0
1770806723.000894,0.0,0.0,0.0
1770806723.0509565,0.0,0.0,0.0
1770806723.1010187,0.0,0.0,0.0
1770806723.1511104,0.0,0.0,0.0
1770806723.2011719,0.0,0.0,0.0
1770806723.2512681,0.0,0.0,0.0
1770806723.3013604,0.0,0.0,0.0
1770806723.3514547,0.0,0.0,0.0
1770806723.4015226,0.0,0.0,0.0
1770806723.451617,0.0,0.0,0.0
1770806723.5017123,0.0,0.0,0.0
1770806723.5517752,0.0,0.0,0.0
1770806723.6018374,0.0,0.0,0.0
1770806723.6518962,0.0,0.0,0.0
1770806723.701958,0.0,0.0,0.0
1770806723.7520688,0.0,0.0,0.0
1770806723.8021657,0.0,0.0,0.0
1770806723.852258,0.0,0.0,0.0
1770806723.9023514,0.0,0.0,0.0
1770806723.952444,0.0,0.0,0.0
1770806724.0025387,0.0,0.0,0.0
1770806724.0526426,0.0,0.0,0.0
1770806724.1027355,0.0,0.0,0.0
1770806724.1528363,0.0,0.0,0.0
1770806724.202899,0.0,0.0,0.0
1770806724.252994,0.0,0.0,0.0
1770806724.3030877,0.0,0.0,0.0
1770806724.3531866,0.0,0.0,0.0
1770806724.4032817,0.0,0.0,0.0
1770806724.4533753,0.0,0.0,0.0
1770806724.5034947,0.0,0.0,0.0
1770806724.5535932,0.0,0.0,0.0
1770806724.6036856,0.0,0.0,0.0
1770806724.653778,0.0,0.0,0.0
1770806724.7038398,0.0,0.0,0.0
1770806724.7539408,0.0,0.0,0.0
1770806724.8040342,0.0,0.0,0.0
1770806724.8541315,0.0,0.0,0.0
1770806724.9042227,0.0,0.0,0.0
1770806724.9543152,0.0,0.0,0.0
1770806725.0044184,0.0,0.0,0.0
1770806725.0544875,0.0,0.0,0.0
1770806725.1045496,0.0,0.0,0.0
1770806725.1546435,0.0,0.0,0.0
1770806725.2047355,0.0,0.0,0.0
1770806725.2547984,0.0,0.0,0.0
1770806725.3048913,0.0,0.0,0.0
1770806725.3549848,0.0,0.0,0.0
1770806725.4050713,0.0,0.0,0.0
1770806725.4551322,0.0,0.0,0.0
1770806725.5052252,0.0,0.0,0.0
1770806725.5553184,0.0,0.0,0.0
1770806725.6054158,0.0,0.0,0.0
1770806725.6554868,0.0,0.0,0.0
1770806725.705549,0.0,0.0,0.0
1770806725.7556138,0.0,0.0,0.0
1770806725.805683,0.0,0.0,0.0
1770806725.8557744,0.0,0.0,0.0
1770806725.9058654,0.0,0.0,0.0
1770806725.9559286,0.0,0.0,0.0
1770806726.0060234,0.0,0.0,0.0
1770806726.0561175,0.0,0.0,0.0
1770806726.1061802,0.0,0.0,0.0
1770806726.1562455,0.0,0.0,0.0
1770806726.2063115,0.0,0.0,0.0
1770806726.2564032,0.0,0.0,0.0
1770806726.306487,0.0,0.0,0.0
1770806726.3565533,0.0,0.0,0.0
1770806726.4066215,0.0,0.0,0.0
1770806726.4567,0.0,0.0,0.0
1770806726.506793,0.0,0.0,0.0
1770806726.5568864,0.0,0.0,0.0
1770806726.6069877,0.0,0.0,0.0
1770806726.657054,0.0,0.0,0.0
1770806726.7071495,0.0,0.0,0.0
1770806726.7572103,0.0,0.0,0.0
1770806726.8073037,0.0,0.0,0.0
1770806726.857382,0.0,0.0,0.0
1770806726.9074779,0.0,0.0,0.0
1770806726.9575696,0.0,0.0,0.0
1770806727.0076642,0.0,0.0,0.0
1770806727.0577624,0.0,0.0,0.0
1770806727.1078248,0.0,0.0,0.0
1770806727.1579173,0.0,0.0,0.0
1770806727.2080092,0.0,0.0,0.0
1770806727.2581005,0.0,0.0,0.0
1770806727.3081675,0.0,0.0,0.0
1770806727.3582623,0.0,0.0,0.0
1770806727.408363,0.0,0.0,0.0
1770806727.4584727,0.0,0.0,0.0
1770806727.508585,0.0,0.0,0.0
1770806727.5586777,0.0,0.0,0.0
1770806727.6087387,0.0,0.0,0.0
1770806727.6588006,0.0,0.0,0.0
1770806727.7088933,0.0,0.0,0.0
1770806727.7589562,0.0,0.0,0.0
1770806727.8090522,0.0,0.0,0.0
1770806727.859145,0.0,0.0,0.0
1770806727.9092367,0.0,0.0,0.0
1770806727.959328,0.0,0.0,0.0
1770806728.0094197,0.0,0.0,0.0
1770806728.059496,0.0,0.0,0.0
1770806728.1095586,0.0,0.0,0.0
1770806728.1596212,0.0,0.0,0.0
1770806728.2096827,0.0,0.0,0.0
1770806728.259745,0.0,0.0,0.0
1770806728.3098068,0.0,0.0,0.0
1770806728.3598988,0.0,0.0,0.0
1770806728.4100027,0.0,0.0,0.0
1770806728.460096,0.0,0.0,0.0
1770806728.5101893,0.0,0.0,0.0
1770806728.5602803,0.0,0.0,0.0
1770806728.610373,0.0,0.0,0.0
1770806728.6604362,0.0,0.0,0.0
1770806728.7104993,0.0,0.0,0.0
1770806728.760561,0.0,0.0,0.0
1770806728.8106225,0.0,0.0,0.0
1770806728.8606837,0.0,0.0,0.0
1770806728.9107418,0.0,0.0,0.0
1770806728.9608326,0.0,0.0,0.0
1770806729.010894,0.0,0.0,0.0
1770806729.0609553,0.0,0.0,0.0
1770806729.111017,0.0,0.0,0.0
1770806729.1610782,0.0,0.0,0.0
1770806729.2111402,0.0,0.0,0.0
1770806729.2611973,0.0,0.0,0.0
1770806729.3112915,0.0,0.0,0.0
1770806729.3613849,0.0,0.0,0.0
1770806729.411473,0.0,0.0,0.0
1770806729.461535,0.0,0.0,0.0
1770806729.5115993,0.0,0.0,0.0
1770806729.5616684,0.0,0.0,0.0
1770806729.6117306,0.0,0.0,0.0
1770806729.6617882,0.0,0.0,0.0
1770806729.7118487,0.0,0.0,0.0
1770806729.7619102,0.0,0.0,0.0
1770806729.8119717,0.0,0.0,0.0
1770806729.8620632,0.0,0.0,0.0
1770806729.912129,0.0,0.0,0.0
1770806729.9621933,0.0,0.0,0.0
1770806730.0122616,0.0,0.0,0.0
1770806730.062325,0.0,0.0,0.0
1770806730.1124015,0.0,0.0,0.0
1770806730.1624374,0.0,0.0,0.0
1770806730.212489,0.0,0.0,0.0
1770806730.2625484,0.0,0.0,0.0
1770806730.312632,0.0,0.0,0.0
1770806730.3627236,0.0,0.0,0.0
1770806730.4127982,0.0,0.0,0.0
1770806730.462876,0.0,0.0,0.0
1770806730.5129416,0.0,0.0,0.0
1770806730.5630019,0.0,0.0,0.0
1770806730.6130905,0.0,0.0,0.0
1770806730.6631923,0.0,0.0,0.0
1770806730.713294,0.0,0.0,0.0
1770806730.7633977,0.0,0.0,0.0
1770806730.8134441,0.0,0.0,0.0
1770806730.8636057,0.0,0.0,0.0
1770806730.9137015,0.0,0.0,0.0
1770806730.963801,0.0,0.0,0.0
1770806731.0138893,0.0,0.0,0.0
1770806731.0639598,0.0,0.0,0.0
1770806731.114056,0.0,0.0,0.0
1770806731.1641493,0.0,0.0,0.0
1770806731.2142422,0.0,0.0,0.0
1770806731.2643402,0.0,0.0,0.0
1770806731.3144083,0.0,0.0,0.0
1770806731.364437,0.0,0.0,0.0
1770806731.4145105,0.0,0.0,0.0
1770806731.4645734,0.0,0.0,0.0
1770806731.5146353,0.0,0.0,0.0
1770806731.5646977,0.0,0.0,0.0
1770806731.6147668,0.0,0.0,0.0
1770806731.664836,0.0,0.0,0.0
1770806731.7149022,0.0,0.0,0.0
1770806731.7649658,0.0,0.0,0.0
1770806731.8150587,0.0,0.0,0.0
1770806731.8651533,0.0,0.0,0.0
1770806731.915247,0.0,0.0,0.0
1770806731.9653456,0.0,0.0,0.0
1770806732.015456,0.0,0.0,0.0
1770806732.0655258,0.0,0.0,0.0
1770806732.1156175,0.0,0.0,0.0
1770806732.1656795,0.0,0.0,0.0
1770806732.215748,0.0,0.0,0.0
1770806732.265825,0.0,0.0,0.0
1770806732.3159053,0.0,0.0,0.0
1770806732.3660107,0.0,0.0,0.0
1770806732.4161003,0.0,0.0,0.0
1770806732.4661703,0.0,0.0,0.0
1770806732.5162354,0.0,0.0,0.0
1770806732.5662987,0.0,0.0,0.0
1770806732.6163988,0.0,0.0,0.0
1770806732.666534,0.0,0.0,0.0
1770806732.716633,0.0,0.0,0.0
1770806732.7667356,0.0,0.0,0.0
1770806732.8168578,0.0,0.0,0.0
1770806732.8669603,0.0,0.0,0.0
1770806732.9170558,0.0,0.0,0.0
1770806732.9671497,0.0,0.0,0.0
1770806733.0172431,0.0,0.0,0.0
1770806733.067341,0.0,0.0,0.0
1770806733.117442,0.0,0.0,0.0
1770806733.1674771,0.0,0.0,0.0
1770806733.2175415,0.0,0.0,0.0
1770806733.2676058,0.0,0.0,0.0
1770806733.317671,0.0,0.0,0.0
1770806733.3677356,0.0,0.0,0.0
1770806733.417805,0.0,0.0,0.0
1770806733.4678679,0.0,0.0,0.0
1770806733.5179698,0.0,0.0,0.0
1770806733.5680676,0.0,0.0,0.0
1770806733.6181421,0.0,0.0,0.0
1770806733.668231,0.0,0.0,0.0
1770806733.7182996,0.0,0.0,0.0
1770806733.7683673,0.0,0.0,0.0
1770806733.8185174,0.0,0.0,0.0
1770806733.8686004,0.0,0.0,0.0
1770806733.9186735,0.0,0.0,0.0
1770806733.968767,0.0,0.0,0.0
1770806734.0188477,0.0,0.0,0.0
1770806734.0689135,0.0,0.0,0.0
1770806734.1189985,0.0,0.0,0.0
1770806734.1690855,0.0,0.0,0.0
1770806734.2191925,0.0,0.0,0.0
1770806734.2692924,0.0,0.0,0.0
1770806734.319398,0.0,0.0,0.0
1770806734.369509,0.0,0.0,0.0
1770806734.4196682,0.0,0.0,0.0
1770806734.4697647,0.0,0.0,0.0
1770806734.5198596,0.0,0.0,0.0
1770806734.569965,0.0,0.0,0.0
1770806734.6200607,0.0,0.0,0.0
1770806734.670152,0.0,0.0,0.0
1770806734.7202144,0.0,0.0,0.0
1770806734.7703125,0.0,0.0,0.0
1770806734.8204248,0.0,0.0,0.0
1770806734.8705208,0.0,0.0,0.0
1770806734.9205847,0.0,0.0,0.0
1770806734.970651,0.0,0.0,0.0
1770806735.020718,0.0,0.0,0.0
1770806735.0707803,0.0,0.0,0.0
1770806735.1209018,0.0,0.0,0.0
1770806735.1710193,0.0,0.0,0.0
1770806735.2211332,0.0,0.0,0.0
1770806735.2712102,0.0,0.0,0.0
1770806735.321282,0.0,0.0,0.0
1770806735.3713365,0.0,0.0,0.0
1770806735.4214382,0.0,0.0,0.0
1770806735.4714859,0.0,0.0,0.0
1770806735.5215514,0.0,0.0,0.0
1770806735.571615,0.0,0.0,0.0
1770806735.621679,0.0,0.0,0.0
1770806735.6717763,0.0,0.0,0.0
1770806735.7218604,0.0,0.0,0.0
1770806735.7719421,0.0,0.0,0.0
1770806735.8220098,0.0,0.0,0.0
1770806735.872114,0.0,0.0,0.0
1770806735.9222682,0.0,0.0,0.0
1770806735.9723792,0.0,0.0,0.0
1770806736.0224674,0.0,0.0,0.0
1770806736.0725734,0.0,0.0,0.0
1770806736.122656,0.0,0.0,0.0
1770806736.17272,0.0,0.0,0.0
1770806736.2227826,0.0,0.0,0.0
1770806736.2728744,0.0,0.0,0.0
1770806736.3229356,0.0,0.0,0.0
1770806736.3729947,0.0,0.0,0.0
1770806736.4230535,0.0,0.0,0.0
1770806736.4731452,0.0,0.0,0.0
1770806736.5232396,0.0,0.0,0.0
1770806736.5733001,0.0,0.0,0.0
1770806736.623363,0.0,0.0,0.0
1770806736.673489,0.0,0.0,0.0
1770806736.7235937,0.0,0.0,0.0
1770806736.773659,0.0,0.0,0.0
1770806736.823731,0.0,0.0,0.0
1770806736.8737946,0.0,0.0,0.0
1770806736.9238527,0.0,0.0,0.0
1770806736.973944,0.0,0.0,0.0
1770806737.0240362,0.0,0.0,0.0
1770806737.0741286,0.0,0.0,0.0
1770806737.1241891,0.0,0.0,0.0
1770806737.1742547,0.0,0.0,0.0
1770806737.2243161,0.0,0.0,0.0
1770806737.2743742,0.0,0.0,0.0
1770806737.3244348,0.0,0.0,0.0
1770806737.3744955,0.0,0.0,0.0
1770806737.4245946,0.0,0.0,0.0
1770806737.4746618,0.0,0.0,0.0
1770806737.5247242,0.0,0.0,0.0
1770806737.574819,0.0,0.0,0.0
1770806737.6248772,0.0,0.0,0.0
1770806737.674935,0.0,0.0,0.0
1770806737.7249966,0.0,0.0,0.0
1770806737.7750745,0.0,0.0,0.0
1770806737.8251688,0.0,0.0,0.0
1770806737.8752735,0.0,0.0,0.0
1770806737.9253328,0.0,0.0,0.0
1770806737.9753935,0.0,0.0,0.0
1770806738.0254407,0.0,0.0,0.0
1770806738.075509,0.0,0.0,0.0
1770806738.1255698,0.0,0.0,0.0
1770806738.1756508,0.0,0.0,0.0
1770806738.2257483,0.0,0.0,0.0
1770806738.2758095,0.0,0.0,0.0
1770806738.3258832,0.0,0.0,0.0
1770806738.3759456,0.0,0.0,0.0
1770806738.4260044,0.0,0.0,0.0
1770806738.47607,0.0,0.0,0.0
1770806738.5261295,0.0,0.0,0.0
1770806738.5762265,0.0,0.0,0.0
1770806738.6263213,0.0,0.0,0.0
1770806738.676415,0.0,0.0,0.0
1770806738.7264373,0.0,0.0,0.0
1770806738.7764997,0.0,0.0,0.0
1770806738.8265631,0.0,0.0,0.0
1770806738.8766282,0.0,0.0,0.0
1770806738.926693,0.0,0.0,0.0
1770806738.9767566,0.0,0.0,0.0
1770806739.0268192,0.0,0.0,0.0
1770806739.0768824,0.0,0.0,0.0
1770806739.1269846,0.0,0.0,0.0
1770806739.1770833,0.0,0.0,0.0
1770806739.2271762,0.0,0.0,0.0
1770806739.2772696,0.0,0.0,0.0
1770806739.3273377,0.0,0.0,0.0
1770806739.3774412,0.0,0.0,0.0
1770806739.4275112,0.0,0.0,0.0
1770806739.4775827,0.0,0.0,0.0
1770806739.5276482,0.0,0.0,0.0
1770806739.5777826,0.0,0.0,0.0
1770806739.6278687,0.0,0.0,0.0
1770806739.6779392,0.0,0.0,0.0
1770806739.7280068,0.0,0.0,0.0
1770806739.7780805,0.0,0.0,0.0
1770806739.8281446,0.0,0.0,0.0
1770806739.8782377,0.0,0.0,0.0
1770806739.9283166,0.0,0.0,0.0
1770806739.978386,0.0,0.0,0.0
1770806740.028445,0.0,0.0,0.0
1770806740.0785341,0.0,0.0,0.0
1770806740.1286037,0.0,0.0,0.0
1770806740.1786864,0.0,0.0,0.0
1770806740.228755,0.0,0.0,0.0
1770806740.278817,0.0,0.0,0.0
1770806740.3288827,0.0,0.0,0.0
1770806740.378952,0.0,0.0,0.0
1770806740.4290164,0.0,0.0,0.0
1770806740.4790819,0.0,0.0,0.0
1770806740.5291464,0.0,0.0,0.0
1770806740.5792491,0.0,0.0,0.0
1770806740.6293478,0.0,0.0,0.0
1770806740.6794138,0.0,0.0,0.0
1770806740.7295024,0.0,0.0,0.0
1770806740.779567,0.0,0.0,0.0
1770806740.829644,0.0,0.0,0.0
1770806740.8797207,0.0,0.0,0.0
1770806740.9297972,0.0,0.0,0.0
1770806740.9798627,0.0,0.0,0.0
1770806741.0299249,0.0,0.0,0.0
1770806741.0799909,0.0,0.0,0.0
1770806741.1300833,0.0,0.0,0.0
1770806741.1801765,0.0,0.0,0.0
1770806741.230239,0.0,0.0,0.0
1770806741.2803338,0.0,0.0,0.0
1770806741.3304498,0.0,0.0,0.0
1770806741.3806617,0.0,0.0,0.0
1770806741.4307678,0.0,0.0,0.0
1770806741.4808679,0.0,0.0,0.0
1770806741.5309339,0.0,0.0,0.0
1770806741.580999,0.0,0.0,0.0
1770806741.631083,0.0,0.0,0.0
1770806741.6811478,0.0,0.0,0.0
1770806741.7312112,0.0,0.0,0.0
1770806741.7812748,0.0,0.0,0.0
1770806741.8313367,0.0,0.0,0.0
1770806741.8814352,0.0,0.0,0.0
1770806741.931499,0.0,0.0,0.0
1770806741.9815674,0.0,0.0,0.0
1770806742.0316324,0.0,0.0,0.0
