t,emg1,emg2,emg3
1770817774.7648942,0.0,0.0,0.0
1770817774.7699554,0.0,0.0,0.0
1770817774.7750638,0.0,0.0,0.0
1770817774.7801607,0.0,0.0,0.0
1770817774.785256,0.0,0.0,0.0
1770817774.7903786,0.0,0.0,0.0
1770817774.795475,0.0,0.0,0.0
1770817774.8005526,0.0,0.0,0.0
1770817774.8056357,0.0,0.0,0.0
1770817774.810712,0.0,0.0,0.0
1770817774.8158147,0.0,0.0,0.0
1770817774.8208914,0.0,0.0,0.0
1770817774.825963,0.0,0.0,0.0
1770817774.8310244,0.0,0.0,0.0
1770817774.836084,0.0,0.0,0.0
1770817774.8411438,0.0,0.0,0.0
1770817774.846214,0.0,0.0,0.0
1770817774.8513243,0.0,0.0,0.0
1770817774.8563843,0.0,0.0,0.0
1770817774.8614357,0.0,0.0,0.0
1770817774.866495,0.0,0.0,0.0
1770817774.871553,0.0,0.0,0.0
1770817774.8766124,0.0,0.0,0.0
1770817774.8816721,0.0,0.0,0.0
1770817774.8867316,0.0,0.0,0.0
1770817774.891792,0.0,0.0,0.0
1770817774.8968523,0.0,0.0,0.0
1770817774.9019225,0.0,0.0,0.0
1770817774.9069972,0.0,0.0,0.0
1770817774.9120538,0.0,0.0,0.0
1770817774.9171128,0.0,0.0,0.0
1770817774.9221728,0.0,0.0,0.0
1770817774.9272325,0.0,0.0,0.0
1770817774.9323041,0.0,0.0,0.0
1770817774.9373624,0.0,0.0,0.0
1770817774.942422,0.0,0.0,0.0
1770817774.9474356,0.0,0.0,0.0
1770817774.9525151,0.0,0.0,0.0
1770817774.9575803,0.0,0.0,0.0
1770817774.962639,0.0,0.0,0.0
1770817774.9676957,0.0,0.0,0.0
1770817774.9727552,0.0,0.0,0.0
1770817774.977821,0.0,0.0,0.0
1770817774.982881,0.0,0.0,0.0
1770817774.9879405,0.0,0.0,0.0
1770817774.9929976,0.0,0.0,0.0
1770817774.998065,0.0,0.0,0.0
1770817775.0031402,0.0,0.0,0.0
1770817775.0082078,0.0,0.0,0.0
1770817775.013273,0.0,0.0,0.0
1770817775.018336,0.0,0.0,0.0
1770817775.0233989,0.0,0.0,0.0
1770817775.0284638,0.0,0.0,0.0
1770817775.0335276,0.0,0.0,0.0
1770817775.0385902,0.0,0.0,0.0
1770817775.0436535,0.0,0.0,0.0
1770817775.0487201,0.0,0.0,0.0
1770817775.0537894,0.0,0.0,0.0
1770817775.0588586,0.0,0.0,0.0
1770817775.0639563,0.0,0.0,0.0
1770817775.0690181,0.0,0.0,0.0
1770817775.0740786,0.0,0.0,0.0
1770817775.0791683,0.0,0.0,0.0
1770817775.084263,0.0,0.0,0.0
1770817775.0893533,0.0,0.0,0.0
1770817775.0944593,0.0,0.0,0.0
1770817775.0995228,0.0,0.0,0.0
1770817775.1046162,0.0,0.0,0.0
1770817775.109706,0.0,0.0,0.0
1770817775.1147966,0.0,0.0,0.0
1770817775.1198869,0.0,0.0,0.0
1770817775.1249793,0.0,0.0,0.0
1770817775.1300693,0.0,0.0,0.0
1770817775.1351597,0.0,0.0,0.0
1770817775.1402564,0.0,0.0,0.0
1770817775.1453412,0.0,0.0,0.0
1770817775.1504104,0.0,0.0,0.0
1770817775.1555047,0.0,0.0,0.0
1770817775.1605647,0.0,0.0,0.0
1770817775.1656647,0.0,0.0,0.0
1770817775.170755,0.0,0.0,0.0
1770817775.1758447,0.0,0.0,0.0
1770817775.1809049,0.0,0.0,0.0
1770817775.1859658,0.0,0.0,0.0
1770817775.191057,0.0,0.0,0.0
1770817775.1961186,0.0,0.0,0.0
1770817775.2011778,0.0,0.0,0.0
1770817775.2062345,0.0,0.0,0.0
1770817775.2113285,0.0,0.0,0.0
1770817775.2163873,0.0,0.0,0.0
1770817775.2214913,0.0,0.0,0.0
1770817775.226582,0.0,0.0,0.0
1770817775.2316823,0.0,0.0,0.0
1770817775.2367475,0.0,0.0,0.0
1770817775.24184,0.0,0.0,0.0
1770817775.2469313,0.0,0.0,0.0
1770817775.2519913,0.0,0.0,0.0
1770817775.2570512,0.0,0.0,0.0
1770817775.2621112,0.0,0.0,0.0
1770817775.2672021,0.0,0.0,0.0
1770817775.27229,0.0,0.0,0.0
1770817775.277364,0.0,0.0,0.0
1770817775.282424,0.0,0.0,0.0
1770817775.287501,0.0,0.0,0.0
1770817775.2925663,0.0,0.0,0.0
1770817775.297624,0.0,0.0,0.0
1770817775.3026807,0.0,0.0,0.0
1770817775.3077402,0.0,0.0,0.0
1770817775.3128,0.0,0.0,0.0
1770817775.317863,0.0,0.0,0.0
1770817775.3229225,0.0,0.0,0.0
1770817775.3279831,0.0,0.0,0.0
1770817775.3330426,0.0,0.0,0.0
1770817775.338118,0.0,0.0,0.0
1770817775.3431962,0.0,0.0,0.0
1770817775.3482525,0.0,0.0,0.0
1770817775.3533094,0.0,0.0,0.0
1770817775.3583646,0.0,0.0,0.0
1770817775.36342,0.0,0.0,0.0
1770817775.368447,0.0,0.0,0.0
1770817775.3735075,0.0,0.0,0.0
1770817775.378563,0.0,0.0,0.0
1770817775.3836184,0.0,0.0,0.0
1770817775.3886867,0.0,0.0,0.0
1770817775.393763,0.0,0.0,0.0
1770817775.3988335,0.0,0.0,0.0
1770817775.4038923,0.0,0.0,0.0
1770817775.408948,0.0,0.0,0.0
1770817775.414003,0.0,0.0,0.0
1770817775.41906,0.0,0.0,0.0
1770817775.4241247,0.0,0.0,0.0
1770817775.4291904,0.0,0.0,0.0
1770817775.4342482,0.0,0.0,0.0
1770817775.439305,0.0,0.0,0.0
1770817775.4443598,0.0,0.0,0.0
1770817775.4494162,0.0,0.0,0.0
1770817775.4544291,0.0,0.0,0.0
1770817775.4594865,0.0,0.0,0.0
1770817775.4645417,0.0,0.0,0.0
1770817775.4695964,0.0,0.0,0.0
1770817775.4746666,0.0,0.0,0.0
1770817775.4797344,0.0,0.0,0.0
1770817775.4847908,0.0,0.0,0.0
1770817775.4898462,0.0,0.0,0.0
1770817775.4949021,0.0,0.0,0.0
1770817775.4999619,0.0,0.0,0.0
1770817775.505065,0.0,0.0,0.0
1770817775.5101569,0.0,0.0,0.0
1770817775.5152192,0.0,0.0,0.0
1770817775.5203118,0.0,0.0,0.0
1770817775.5254028,0.0,0.0,0.0
1770817775.5304985,0.0,0.0,0.0
1770817775.5355585,0.0,0.0,0.0
1770817775.540618,0.0,0.0,0.0
1770817775.5457144,0.0,0.0,0.0
1770817775.5507746,0.0,0.0,0.0
1770817775.5558667,0.0,0.0,0.0
1770817775.5609608,0.0,0.0,0.0
1770817775.5660517,0.0,0.0,0.0
1770817775.571142,0.0,0.0,0.0
1770817775.5762546,0.0,0.0,0.0
1770817775.5813553,0.0,0.0,0.0
1770817775.5864198,0.0,0.0,0.0
1770817775.5914829,0.0,0.0,0.0
1770817775.596573,0.0,0.0,0.0
1770817775.6016686,0.0,0.0,0.0
1770817775.6067584,0.0,0.0,0.0
1770817775.6118183,0.0,0.0,0.0
1770817775.6168783,0.0,0.0,0.0
1770817775.621969,0.0,0.0,0.0
1770817775.6270597,0.0,0.0,0.0
1770817775.632157,0.0,0.0,0.0
1770817775.6372502,0.0,0.0,0.0
1770817775.6423414,0.0,0.0,0.0
1770817775.6474316,0.0,0.0,0.0
1770817775.6525242,0.0,0.0,0.0
1770817775.6576157,0.0,0.0,0.0
1770817775.6627066,0.0,0.0,0.0
1770817775.6677973,0.0,0.0,0.0
1770817775.6728868,0.0,0.0,0.0
1770817775.6779768,0.0,0.0,0.0
1770817775.6830604,0.0,0.0,0.0
1770817775.6881254,0.0,0.0,0.0
1770817775.6931813,0.0,0.0,0.0
1770817775.6982381,0.0,0.0,0.0
1770817775.7033303,0.0,0.0,0.0
1770817775.7084196,0.0,0.0,0.0
1770817775.7134736,0.0,0.0,0.0
1770817775.7185543,0.0,0.0,0.0
1770817775.7236242,0.0,0.0,0.0
1770817775.728715,0.0,0.0,0.0
1770817775.7338064,0.0,0.0,0.0
1770817775.7388966,0.0,0.0,0.0
1770817775.7439878,0.0,0.0,0.0
1770817775.7490878,0.0,0.0,0.0
1770817775.754181,0.0,0.0,0.0
1770817775.759271,0.0,0.0,0.0
1770817775.7643611,0.0,0.0,0.0
1770817775.7694519,0.0,0.0,0.0
1770817775.774482,0.0,0.0,0.0
1770817775.7795753,0.0,0.0,0.0
1770817775.7846375,0.0,0.0,0.0
1770817775.7897313,0.0,0.0,0.0
1770817775.7948213,0.0,0.0,0.0
1770817775.7999115,0.0,0.0,0.0
1770817775.8050022,0.0,0.0,0.0
1770817775.810092,0.0,0.0,0.0
1770817775.8151834,0.0,0.0,0.0
1770817775.8202763,0.0,0.0,0.0
1770817775.82536,0.0,0.0,0.0
1770817775.8304303,0.0,0.0,0.0
1770817775.8354855,0.0,0.0,0.0
1770817775.8405426,0.0,0.0,0.0
1770817775.8456023,0.0,0.0,0.0
1770817775.8506613,0.0,0.0,0.0
1770817775.8557212,0.0,0.0,0.0
1770817775.8607795,0.0,0.0,0.0
1770817775.8658412,0.0,0.0,0.0
1770817775.8709333,0.0,0.0,0.0
1770817775.876027,0.0,0.0,0.0
1770817775.881127,0.0,0.0,0.0
1770817775.8862178,0.0,0.0,0.0
1770817775.8913083,0.0,0.0,0.0
1770817775.8963995,0.0,0.0,0.0
1770817775.9014947,0.0,0.0,0.0
1770817775.9065545,0.0,0.0,0.0
1770817775.9116452,0.0,0.0,0.0
1770817775.9167402,0.0,0.0,0.0
1770817775.9218044,0.0,0.0,0.0
1770817775.9268653,0.0,0.0,0.0
1770817775.9319563,0.0,0.0,0.0
1770817775.9370465,0.0,0.0,0.0
1770817775.942146,0.0,0.0,0.0
1770817775.9472377,0.0,0.0,0.0
1770817775.9523253,0.0,0.0,0.0
1770817775.9574182,0.0,0.0,0.0
1770817775.962508,0.0,0.0,0.0
1770817775.967569,0.0,0.0,0.0
1770817775.9726315,0.0,0.0,0.0
1770817775.9776902,0.0,0.0,0.0
1770817775.982745,0.0,0.0,0.0
1770817775.9878066,0.0,0.0,0.0
1770817775.99288,0.0,0.0,0.0
1770817775.9979527,0.0,0.0,0.0
1770817776.0030153,0.0,0.0,0.0
1770817776.0080757,0.0,0.0,0.0
1770817776.0131655,0.0,0.0,0.0
1770817776.0182557,0.0,0.0,0.0
1770817776.0233488,0.0,0.0,0.0
1770817776.0284414,0.0,0.0,0.0
1770817776.033533,0.0,0.0,0.0
1770817776.0386238,0.0,0.0,0.0
1770817776.043714,0.0,0.0,0.0
1770817776.0488057,0.0,0.0,0.0
1770817776.053866,0.0,0.0,0.0
1770817776.058926,0.0,0.0,0.0
1770817776.0639899,0.0,0.0,0.0
1770817776.069056,0.0,0.0,0.0
1770817776.074123,0.0,0.0,0.0
