t,pressure
1770814439.3682373,0.0
1770814439.3783348,0.0
1770814439.3884387,0.0
1770814439.3985014,0.0
1770814439.4085739,0.0
1770814439.4186535,0.0
1770814439.428776,0.0
1770814439.4388862,0.0
1770814439.448998,0.0
1770814439.4591017,0.0
1770814439.4691935,0.0
1770814439.4792888,0.0
1770814439.4893508,0.0
1770814439.49945,0.0
1770814439.509495,0.0
1770814439.5195591,0.0
1770814439.529668,0.0
1770814439.5397666,0.0
1770814439.5498567,0.0
1770814439.5599465,0.0
1770814439.5700362,0.0
1770814439.580127,0.0
1770814439.5902176,0.0
1770814439.6003225,0.0
1770814439.610387,0.0
1770814439.620475,0.0
1770814439.6305366,0.0
1770814439.6405973,0.0
1770814439.6506562,0.0
1770814439.660716,0.0
1770814439.6707768,0.0
1770814439.6808367,0.0
1770814439.690896,0.0
1770814439.700955,0.0
1770814439.7110436,0.0
1770814439.7211344,0.0
1770814439.7312243,0.0
1770814439.7413292,0.0
1770814439.7514172,0.0
1770814439.7614832,0.0
1770814439.7715518,0.0
1770814439.7816112,0.0
1770814439.7916703,0.0
1770814439.8017294,0.0
1770814439.811792,0.0
1770814439.8218515,0.0
1770814439.831911,0.0
1770814439.841971,0.0
1770814439.8520598,0.0
1770814439.8621495,0.0
1770814439.8722386,0.0
1770814439.882327,0.0
1770814439.8924239,0.0
1770814439.9024637,0.0
1770814439.912523,0.0
1770814439.92258,0.0
1770814439.932635,0.0
1770814439.9426978,0.0
1770814439.9527533,0.0
1770814439.9628093,0.0
1770814439.972864,0.0
1770814439.9829357,0.0
1770814439.9929953,0.0
1770814440.0030868,0.0
1770814440.0131786,0.0
1770814440.023252,0.0
1770814440.0333107,0.0
1770814440.0434005,0.0
1770814440.053477,0.0
1770814440.0635388,0.0
1770814440.0736008,0.0
1770814440.083661,0.0
1770814440.0937188,0.0
1770814440.1037798,0.0
1770814440.1138473,0.0
1770814440.1239095,0.0
1770814440.13397,0.0
1770814440.1440618,0.0
1770814440.1541517,0.0
1770814440.1642416,0.0
1770814440.1743016,0.0
1770814440.1843615,0.0
1770814440.1944563,0.0
1770814440.2044916,0.0
1770814440.2145522,0.0
1770814440.2246146,0.0
1770814440.2346776,0.0
1770814440.2447445,0.0
1770814440.2548363,0.0
1770814440.2649276,0.0
1770814440.2749865,0.0
1770814440.285081,0.0
1770814440.2951744,0.0
1770814440.3052402,0.0
1770814440.3153327,0.0
1770814440.325431,0.0
1770814440.3354924,0.0
1770814440.3455818,0.0
1770814440.3556461,0.0
1770814440.3657098,0.0
1770814440.3757703,0.0
1770814440.3858361,0.0
1770814440.3958979,0.0
1770814440.4059563,0.0
1770814440.4160461,0.0
1770814440.4261348,0.0
1770814440.4361968,0.0
1770814440.446257,0.0
1770814440.456347,0.0
1770814440.4664433,0.0
1770814440.476476,0.0
1770814440.4865375,0.0
1770814440.4965992,0.0
1770814440.5066595,0.0
1770814440.516718,0.0
1770814440.5267766,0.0
1770814440.536837,0.0
1770814440.5468938,0.0
1770814440.5569532,0.0
1770814440.5670424,0.0
1770814440.5771375,0.0
1770814440.5872483,0.0
1770814440.5973144,0.0
1770814440.6073728,0.0
1770814440.6174328,0.0
1770814440.6274698,0.0
1770814440.63753,0.0
1770814440.6475892,0.0
1770814440.657653,0.0
1770814440.6677153,0.0
1770814440.6777751,0.0
1770814440.6878378,0.0
1770814440.6978974,0.0
1770814440.7079673,0.0
1770814440.7180398,0.0
1770814440.728109,0.0
1770814440.7381716,0.0
1770814440.7482336,0.0
1770814440.758312,0.0
1770814440.7683847,0.0
1770814440.7784367,0.0
1770814440.7884994,0.0
1770814440.7985609,0.0
1770814440.8086216,0.0
1770814440.8187132,0.0
1770814440.8288035,0.0
1770814440.8388934,0.0
1770814440.848983,0.0
1770814440.8590732,0.0
1770814440.869135,0.0
1770814440.8792295,0.0
1770814440.8893194,0.0
1770814440.8993917,0.0
1770814440.9094815,0.0
1770814440.919543,0.0
1770814440.9296036,0.0
1770814440.939693,0.0
1770814440.9497516,0.0
1770814440.959816,0.0
1770814440.9699214,0.0
1770814440.9800107,0.0
1770814440.9901001,0.0
1770814441.0001934,0.0
1770814441.0102582,0.0
1770814441.020318,0.0
1770814441.0304105,0.0
1770814441.0404675,0.0
1770814441.0505285,0.0
1770814441.060589,0.0
1770814441.0706797,0.0
1770814441.0807793,0.0
1770814441.0908768,0.0
1770814441.1009684,0.0
1770814441.1110299,0.0
1770814441.1211252,0.0
1770814441.1312146,0.0
1770814441.1412807,0.0
1770814441.1513498,0.0
1770814441.1614408,0.0
1770814441.1715019,0.0
1770814441.1815972,0.0
1770814441.1916876,0.0
1770814441.201779,0.0
1770814441.211836,0.0
1770814441.2218912,0.0
1770814441.2319393,0.0
1770814441.2420313,0.0
1770814441.2521217,0.0
1770814441.2622168,0.0
1770814441.2723067,0.0
1770814441.282397,0.0
1770814441.2924786,0.0
1770814441.3025384,0.0
1770814441.3126318,0.0
1770814441.3227258,0.0
1770814441.3327982,0.0
1770814441.3428583,0.0
1770814441.3529568,0.0
1770814441.3630457,0.0
1770814441.3731537,0.0
1770814441.3832207,0.0
1770814441.3933115,0.0
1770814441.4033704,0.0
1770814441.4134786,0.0
1770814441.423568,0.0
1770814441.4336672,0.0
1770814441.4437563,0.0
1770814441.4538453,0.0
1770814441.4639347,0.0
1770814441.4739945,0.0
1770814441.48409,0.0
1770814441.4941807,0.0
1770814441.5042698,0.0
1770814441.5143538,0.0
1770814441.5244567,0.0
1770814441.534488,0.0
1770814441.5445478,0.0
1770814441.5546138,0.0
1770814441.5646756,0.0
1770814441.5747352,0.0
1770814441.5847945,0.0
1770814441.5948544,0.0
1770814441.6049137,0.0
1770814441.6149747,0.0
1770814441.6250715,0.0
1770814441.635174,0.0
1770814441.6452625,0.0
1770814441.6553519,0.0
1770814441.6654124,0.0
1770814441.6754928,0.0
1770814441.6855524,0.0
1770814441.6956196,0.0
1770814441.7056787,0.0
1770814441.7157404,0.0
1770814441.72584,0.0
1770814441.7359302,0.0
1770814441.7459886,0.0
1770814441.7560804,0.0
1770814441.7661932,0.0
1770814441.7762709,0.0
1770814441.7863424,0.0
1770814441.7964077,0.0
1770814441.8064759,0.0
1770814441.8165383,0.0
1770814441.8265991,0.0
1770814441.8366964,0.0
1770814441.8467588,0.0
1770814441.8568497,0.0
1770814441.8669395,0.0
1770814441.877029,0.0
1770814441.8871186,0.0
1770814441.8971827,0.0
1770814441.907281,0.0
1770814441.917373,0.0
1770814441.9274416,0.0
1770814441.937501,0.0
1770814441.9475632,0.0
1770814441.957625,0.0
1770814441.9677148,0.0
1770814441.977805,0.0
1770814441.9878743,0.0
1770814441.9979658,0.0
1770814442.0080562,0.0
1770814442.018146,0.0
1770814442.0282352,0.0
1770814442.038316,0.0
1770814442.0484126,0.0
1770814442.0584662,0.0
1770814442.0685284,0.0
1770814442.0785902,0.0
1770814442.0886524,0.0
1770814442.098743,0.0
1770814442.1088333,0.0
1770814442.118922,0.0
1770814442.129012,0.0
1770814442.1390762,0.0
1770814442.1491694,0.0
1770814442.159259,0.0
1770814442.1693492,0.0
1770814442.1794498,0.0
1770814442.1895125,0.0
1770814442.199572,0.0
1770814442.209631,0.0
1770814442.2196918,0.0
1770814442.2297523,0.0
1770814442.2398174,0.0
1770814442.2498782,0.0
1770814442.2599382,0.0
1770814442.270027,0.0
1770814442.280121,0.0
1770814442.2902093,0.0
1770814442.3002985,0.0
1770814442.3103871,0.0
1770814442.3204968,0.0
1770814442.3305619,0.0
1770814442.3406212,0.0
1770814442.3506808,0.0
1770814442.3607402,0.0
1770814442.3707993,0.0
1770814442.3808606,0.0
1770814442.3909209,0.0
1770814442.4009805,0.0
1770814442.4110692,0.0
1770814442.421159,0.0
1770814442.4312184,0.0
1770814442.441281,0.0
1770814442.451336,0.0
1770814442.4613917,0.0
1770814442.4714887,0.0
1770814442.4815505,0.0
1770814442.4916096,0.0
1770814442.501665,0.0
1770814442.5117204,0.0
1770814442.5217776,0.0
1770814442.5318322,0.0
1770814442.5418873,0.0
1770814442.5519843,0.0
1770814442.5620737,0.0
1770814442.5721753,0.0
1770814442.5822766,0.0
1770814442.5923674,0.0
1770814442.6024578,0.0
1770814442.6124878,0.0
1770814442.622552,0.0
1770814442.6326418,0.0
1770814442.6427314,0.0
1770814442.6528218,0.0
1770814442.6629155,0.0
1770814442.673008,0.0
1770814442.683098,0.0
1770814442.6931875,0.0
1770814442.7032769,0.0
1770814442.7133355,0.0
1770814442.723434,0.0
1770814442.7334945,0.0
1770814442.743554,0.0
1770814442.7536137,0.0
1770814442.7636724,0.0
1770814442.7737627,0.0
1770814442.7838528,0.0
1770814442.7939517,0.0
1770814442.804042,0.0
1770814442.8141053,0.0
1770814442.824194,0.0
1770814442.8342633,0.0
1770814442.8443687,0.0
1770814442.8544588,0.0
1770814442.8645418,0.0
1770814442.874609,0.0
1770814442.8846986,0.0
1770814442.894789,0.0
1770814442.9048784,0.0
1770814442.9149692,0.0
1770814442.9250355,0.0
1770814442.9351258,0.0
1770814442.9452167,0.0
1770814442.9553072,0.0
1770814442.9653933,0.0
1770814442.9754386,0.0
1770814442.985484,0.0
1770814442.9955454,0.0
1770814443.00562,0.0
1770814443.0157113,0.0
1770814443.0258005,0.0
1770814443.0358603,0.0
1770814443.0459638,0.0
1770814443.056053,0.0
1770814443.0661168,0.0
1770814443.0762086,0.0
1770814443.086308,0.0
1770814443.096398,0.0
1770814443.1064675,0.0
