t,j1,j2,j3
1770814439.368164,0.0,0.0,0.0
1770814439.4182963,0.0,0.0,0.0
1770814439.468395,0.0,0.0,0.0
1770814439.5184796,0.0,0.0,0.0
1770814439.5685413,0.0,0.0,0.0
1770814439.6186006,0.0,0.0,0.0
1770814439.6686566,0.0,0.0,0.0
1770814439.7187347,0.0,0.0,0.0
1770814439.768803,0.0,0.0,0.0
1770814439.8188646,0.0,0.0,0.0
1770814439.8689268,0.0,0.0,0.0
1770814439.9189851,0.0,0.0,0.0
1770814439.9690466,0.0,0.0,0.0
1770814440.019105,0.0,0.0,0.0
1770814440.0692115,0.0,0.0,0.0
1770814440.1193113,0.0,0.0,0.0
1770814440.1694014,0.0,0.0,0.0
1770814440.219442,0.0,0.0,0.0
1770814440.2694836,0.0,0.0,0.0
1770814440.3195448,0.0,0.0,0.0
1770814440.369602,0.0,0.0,0.0
1770814440.4196618,0.0,0.0,0.0
1770814440.469723,0.0,0.0,0.0
1770814440.5197842,0.0,0.0,0.0
1770814440.5698462,0.0,0.0,0.0
1770814440.6199367,0.0,0.0,0.0
1770814440.6699986,0.0,0.0,0.0
1770814440.7200606,0.0,0.0,0.0
1770814440.7701206,0.0,0.0,0.0
1770814440.8202133,0.0,0.0,0.0
1770814440.8702748,0.0,0.0,0.0
1770814440.920366,0.0,0.0,0.0
1770814440.9704597,0.0,0.0,0.0
1770814441.02052,0.0,0.0,0.0
1770814441.070587,0.0,0.0,0.0
1770814441.1206448,0.0,0.0,0.0
1770814441.1707358,0.0,0.0,0.0
1770814441.220798,0.0,0.0,0.0
1770814441.2708619,0.0,0.0,0.0
1770814441.320931,0.0,0.0,0.0
1770814441.3709974,0.0,0.0,0.0
1770814441.4210906,0.0,0.0,0.0
1770814441.471186,0.0,0.0,0.0
1770814441.5212529,0.0,0.0,0.0
1770814441.5713484,0.0,0.0,0.0
1770814441.6214428,0.0,0.0,0.0
1770814441.6715348,0.0,0.0,0.0
1770814441.721598,0.0,0.0,0.0
1770814441.7716594,0.0,0.0,0.0
1770814441.8217218,0.0,0.0,0.0
1770814441.8717837,0.0,0.0,0.0
1770814441.921846,0.0,0.0,0.0
